Date,Site_WE12,Site_WE13,Site_WE14,Site_WE15,Site_WE16,Site_WE2,Site_WE4,Site_WE6,Site_WE8,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,CTD Temperature (°C),CTD Dissolved Oxygen (mg/L),Particulate Microcystin (µg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),N:P Mass Ratio,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_1wk,CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_1wk,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Dissolved Phosphorus (µg P/L)_1wk,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_1wk,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_1wk,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_1wk,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks
2012-05-19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,36.16,12.504999999999999,31.730000000000004,0.84925,23.158167196822568,6.729777293951681,0.015413441847808913,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,39.57,13.216249999999999,30.737500000000004,0.9328124999999999,23.2305686763124,6.725073256992353,0.015342073089919835,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,42.980000000000004,13.9275,29.745,1.016375,23.302970155802235,6.7203692200330245,0.015270704332030757,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,46.39,14.63875,28.7525,1.0999374999999998,23.37537163529207,6.715665183073696,0.015199335574141678,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,49.8,15.35,27.76,1.1835,23.447773114781903,6.710961146114368,0.0151279668162526,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,10.37125,9.66,9.66,9.66,34.7075,35.7,35.7,35.7,0.5985625,0.515,0.515,0.515,22.940962758353066,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,53.21,16.06125,26.767500000000002,1.2670624999999998,23.520174594271733,6.70625710915504,0.01505659805836352,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,11.0825,9.66,9.66,9.66,33.715,35.7,35.7,35.7,0.682125,0.515,0.515,0.515,23.0133642378429,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,56.620000000000005,16.7725,25.775000000000002,1.350625,23.592576073761567,6.701553072195711,0.014985229300474441,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,11.79375,9.66,9.66,9.66,32.722500000000004,35.7,35.7,35.7,0.7656875,0.515,0.515,0.515,23.085765717332734,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-26,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,60.03,17.48375,24.7825,1.4341874999999997,23.6649775532514,6.696849035236383,0.014913860542585363,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.504999999999999,9.66,9.66,9.66,31.730000000000004,35.7,35.7,35.7,0.84925,0.515,0.515,0.515,23.158167196822568,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,63.44,18.195,23.79,1.51775,23.737379032741234,6.692144998277055,0.014842491784696285,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,13.216249999999999,9.66,9.66,9.66,30.737500000000004,35.7,35.7,35.7,0.9328124999999999,0.515,0.515,0.515,23.2305686763124,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-28,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,66.85,18.90625,22.7975,1.6013124999999997,23.809780512231068,6.687440961317726,0.014771123026807206,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,13.9275,9.66,9.66,9.66,29.745,35.7,35.7,35.7,1.016375,0.515,0.515,0.515,23.302970155802235,22.868561278863233,22.868561278863233,22.868561278863233
