,Particulate Microcystin (µg/L)
364,-0.210457302165711
365,-0.9641029890013384
366,-0.9641029890013384
367,-0.3541740113680996
368,0.3168477638520671
369,-0.9641029890013384
370,-0.9641029890013384
371,-0.5490803514865651
372,-0.3838671873928667
373,0.44140771703023984
374,1.53683364699936
375,1.2751854691383275
376,0.8904351913739873
377,-0.32152639403848093
378,-0.24832167236948557
379,-0.3838671873928667
380,-0.9641029890013384
381,-0.711627890962441
382,-0.48230860083595234
383,-0.6294635808333071
384,0.17107278368839854
385,-0.9641029890013384
386,-0.7394096837438934
387,0.19485204594948274
388,-0.9641029890013384
389,0.08772531961131415
390,-0.3838671873928667
391,1.2423035633832369
392,-0.9641029890013384
393,1.4880877866130335
394,0.5427553108004217
395,-0.37239088033050677
396,-0.9316231233035963
397,-0.9641029890013384
398,1.4408300994104104
399,1.5530418083633317
400,0.5347555206421327
401,-0.9641029890013384
402,0.40530952507766677
403,-0.9641029890013384
404,-0.9641029890013384
405,-0.7239806818558921
406,-0.0793183521913722
407,0.30706431905041137
408,1.2559683496170142
409,-0.660332321575465
410,-0.9641029890013384
411,-0.9641029890013384
412,-0.028129695718443672
413,-0.8840389478654426
414,-0.9641029890013384
415,-0.9641029890013384
416,0.33948647878599814
417,0.2926395217584298
418,-0.9641029890013384
419,-0.3838671873928667
420,1.6689315480974267
421,-0.40275622756569696
422,1.5250958198965894
423,-0.06814430673504406
424,-0.3186623191342878
425,0.7431550028273591
426,-0.9641029890013384
427,0.4986226803131757
428,-0.899751589736379
429,-0.9641029890013384
430,-0.9396854242165082
431,-0.47695319575727957
432,1.7269391184241702
433,-0.48660735272788225
434,1.8248437525859054
435,1.0213839245484022
436,0.8146395040531703
437,-0.42190566504236443
438,-0.9641029890013384
439,-0.8827361846720035
440,1.6322446079614048
441,0.7570863483011545
442,0.4696167078868731
443,-0.9641029890013384
444,0.6128984061328148
445,-0.9641029890013384
446,1.5624329995057038
447,1.3059773095312146
448,0.18337754526479247
449,-0.9641029890013384
450,-0.9641029890013384
451,-0.3838671873928667
452,0.05657257744495505
453,-0.5134944660442377
454,1.7753085754241917
455,-0.9641029890013384
456,1.2756428648378195
457,0.9546105302058582
458,-0.4094286528049383
459,-0.9641029890013384
460,-0.8411536490917486
461,-0.3838671873928667
462,-0.9641029890013384
463,1.4790493827115012
464,1.7300937426197633
465,0.5185227214107614
466,0.5593075835382907
467,-0.1504515554970589
468,-0.9641029890013384
469,0.03798992783523994
