,Site,Site ID,Site Type,Collect Date,Collection Time,Sample ID,Parameter,Result,Units,Qual.*,Program,Lab,Lat,Long,Saturation
0,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-25,00:00,2121629,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
1,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-10,00:00,2115433,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
2,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-26,00:00,2107254,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
3,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-12,00:00,2103289,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
4,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-29,00:00,2094113,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
5,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-29,00:00,2094112,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
6,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-22,00:00,2091714,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
7,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-22,00:00,2091715,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
8,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-15,00:00,2088746,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
9,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-15,00:00,2088747,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
10,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-08,00:00,2102892,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
11,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-08,00:00,2102893,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
12,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-10-02,10:45,18100202-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
13,Lake Erie North of Port Clinton,302502,Lake Site,2018-10-02,10:05,18100202-06,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.55781,-82.93635,False
14,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-01,00:00,2079473,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
15,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-01,00:00,2079474,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
16,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-09-27,11:40,18092702-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
17,Lake Erie near Crane Reef,303470,Lake Site,2018-09-27,10:42,18092702-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
18,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-09-24,10:52,18092402-02,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.76832,-83.3008,False
19,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-09-24,00:00,2072664,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
20,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-09-24,00:00,2072665,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
21,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-09-20,11:47,18092002-10,Microcystins,0.316,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
22,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2018-09-20,11:14,18092002-09,Microcystins,0.914,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
23,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-09-20,10:24,18092002-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
24,Lake Erie North of Port Clinton,302502,Lake Site,2018-09-18,10:18,18091803-06,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.55781,-82.93635,False
25,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-09-18,09:43,18091803-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
26,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-09-17,00:00,2079472,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
27,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-09-17,00:00,2068820,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
28,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-09-13,12:00,18091302-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
29,Lake Erie near Crane Reef,303470,Lake Site,2018-09-13,10:49,18091302-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
30,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-09-12,10:00,18091202-02,Microcystins,0.444,ug/L,,DSW-NWDO,DES,41.76832,-83.3008,False
31,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-09-11,11:54,18091102-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
32,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2018-09-11,11:24,18091102-09,Microcystins,0.365,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
33,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-09-11,10:23,18091102-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
34,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-09-10,00:00,2064180,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
35,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-09-10,00:00,2064181,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
36,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-09-06,09:57,18090603-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
37,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-09-03,00:00,2071632,Microcystins,0.54,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
38,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-09-03,00:00,2071633,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
39,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-08-30,11:30,18083003-07,Microcystins,2.52,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
40,Lake Erie near Crane Reef,303470,Lake Site,2018-08-30,10:42,18083003-13,Microcystins,0.928,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
41,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-08-27,00:00,2051626,Microcystins,1.3,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
42,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-08-27,00:00,2051627,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
43,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-08-20,00:00,2051618,Microcystins,1.64,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
44,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-08-20,00:00,2051619,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
45,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-08-13,12:39,18081302-10,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
46,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2018-08-13,11:44,18081302-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
47,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-08-13,10:49,18081302-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
48,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-08-13,00:00,2045333,Microcystins,1.47,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
49,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-08-13,00:00,2045334,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
50,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-08-08,11:46,18080806-12,Microcystins,0.382,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
51,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-08-06,00:00,2041004,Microcystins,3.91,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
52,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-08-06,00:00,2041005,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
53,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-08-02,11:23,18080203-07,Microcystins,1.64,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
54,Lake Erie near Crane Reef,303470,Lake Site,2018-08-02,10:24,18080203-13,Microcystins,1.23,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
55,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-08-01,10:16,18080102-02,Microcystins,3.63,ug/L,,DSW-NWDO,DES,41.76832,-83.3008,False
56,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-30,00:00,2035962,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
57,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-07-30,00:00,2035963,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
58,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2018-07-26,11:37,18072602-09,Microcystins,3.1,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
59,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-07-26,11:08,18072602-10,Microcystins,0.402,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
60,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-07-26,10:14,18072602-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
61,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-07-24,11:42,18072402-07,Microcystins,1.8,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
62,Lake Erie near Crane Reef,303470,Lake Site,2018-07-24,10:42,18072402-13,Microcystins,0.602,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
63,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-23,00:00,2029630,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
64,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-07-23,00:00,2029631,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
65,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-07-19,11:05,18071905-02,Microcystins,0.624,ug/L,,DSW-NWDO,DES,41.76832,-83.3008,False
66,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-07-18,11:55,18071802-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
67,Lake Erie North of Port Clinton,302502,Lake Site,2018-07-18,10:40,18071802-06,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.55781,-82.93635,False
68,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-18,00:00,2028470,Microcystins,0.458,ug/L,,,ALLOWAY MARION LABORATORY-B,41.689305,-82.817555,False
69,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-16,00:00,2026702,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
70,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-07-16,00:00,2026703,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
71,Maumee Bay State Park Lake Erie Beach,ODNR43,Lake Site,2018-07-12,12:00,18071301-01,Microcystins,0.862,ug/L,,ODNR-HAB,DES,41.685758,-83.376958,False
72,Lake Erie near Crane Reef,303470,Lake Site,2018-07-11,11:28,18071102-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
73,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-07-11,10:21,18071102-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
74,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2018-07-10,12:32,18071002-09,Microcystins,2.04,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
75,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-07-10,11:52,18071002-10,Microcystins,0.704,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
76,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-07-10,10:55,18071002-11,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.428333,-82.365033,False
77,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-09,00:00,2023298,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
78,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-07-09,00:00,2023299,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
79,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-07-02,10:19,18070202-02,Microcystins,0.0,ug/L,U+,DSW-NWDO,DES,41.76832,-83.3008,False
80,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-07-02,00:00,2016578,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
81,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-07-02,00:00,2016577,Microcystins,0.366,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
82,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2018-06-26,12:47,18062603-10,Microcystins,0.382,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
83,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2018-06-26,11:06,18062603-11,Microcystins,0.0,ug/L,U+,DSW-NWDO,DES,41.428333,-82.365033,False
84,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-06-25,00:00,2011380,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
85,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-06-25,00:00,2011381,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
86,Lake Erie North of Port Clinton,302502,Lake Site,2018-06-21,12:43,18062102-06,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.55781,-82.93635,False
87,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-06-21,11:37,18062102-12,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.556748999999996,-82.785072,False
88,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-06-19,12:14,18061902-07,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.6957,-83.2649,False
89,Lake Erie near Crane Reef,303470,Lake Site,2018-06-19,11:28,18061902-13,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.6607,-83.09234599999999,False
90,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-06-18,10:05,18061802-02,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.76832,-83.3008,False
91,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-06-18,00:00,2008610,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
92,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-06-18,00:00,2008611,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
93,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-06-11,00:00,2005816,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
94,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-06-11,00:00,2005817,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
95,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-06-04,00:00,2000507,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
96,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-06-04,00:00,2000508,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
97,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-29,00:00,2000515,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
98,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-05-29,00:00,2000516,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
99,Lake Erie Ambient Station - Wildwood,301256,Lake Site,2018-05-23,12:40,18052109-05,Microcystins,0.0,ug/L,U-,DSW-NEDO,DES,41.60404,-81.58445,False
100,Lake Erie Ambient Station - Fairport North,301255,Lake Site,2018-05-23,10:37,18052109-04,Microcystins,0.0,ug/L,U-,DSW-NEDO,DES,41.77903,-81.31017,False
101,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-21,00:00,2011409,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
102,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-21,00:00,1993692,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
103,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-05-21,00:00,2011410,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
104,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-05-21,00:00,1993693,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
105,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-14,00:00,2000523,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
106,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-05-14,00:00,2000524,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
107,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-10,00:00,1994004,Microcystins,0.0,ug/L,,,ALLOWAY MARION LABORATORY-B,41.689305,-82.817555,False
108,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-05-07,00:00,2011403,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
109,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-05-07,00:00,2011404,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
110,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-04-23,00:00,1979063,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
111,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-04-08,00:00,1974934,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
112,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-04-07,00:00,1988436,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
113,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-04-07,00:00,1988437,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
114,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-03-26,00:00,1970855,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
115,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-03-12,00:00,1961892,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
116,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-02-28,00:00,1951909,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
117,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-02-13,00:00,1948077,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
118,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-01-30,00:00,1938308,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
119,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-01-16,00:00,1934667,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
120,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-01-03,00:00,1927321,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
121,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2017-11-06,00:00,1902795,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
122,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2017-11-06,00:00,1902796,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
123,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2017-10-30,00:00,1897388,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
124,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2017-10-30,00:00,1897389,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
125,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2017-10-23,00:00,1893793,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
126,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2017-10-23,00:00,1893792,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
127,Maumee Bay State Park Lake Erie Beach,ODNR43,Lake Site,2017-10-17,08:30,17101804-01,Microcystins,0.0,ug/L,U+,ODNR-HAB,DES,41.685758,-83.376958,False
128,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2017-10-16,00:00,1891693,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
129,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2017-10-16,00:00,1891692,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
130,Maumee Bay State Park Lake Erie Beach,ODNR43,Lake Site,2017-10-10,10:02,17101106-01,Microcystins,1.05,ug/L,,ODNR-HAB,DES,41.685758,-83.376958,False
131,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2017-10-10,00:00,1889564,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
132,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2017-10-10,00:00,1889565,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
133,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2017-10-04,11:43,17100402-02,Microcystins,0.0,ug/L,U+,DSW-NWDO,DES,41.76832,-83.3008,False
134,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2017-10-04,10:40,17100402-07,Microcystins,0.597,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
135,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2017-10-03,12:12,17100303-10,Microcystins,0.993,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
136,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2017-10-03,11:30,17100303-09,Microcystins,0.428,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
137,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2017-10-03,10:35,17100303-11,Microcystins,0.0,ug/L,U-,DSW-NWDO,DES,41.428333,-82.365033,False
138,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2017-10-02,12:45,17100202-12,Microcystins,0.799,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
139,Lake Erie North of Port Clinton,302502,Lake Site,2017-10-02,12:08,17100202-06,Microcystins,1.65,ug/L,,DSW-NWDO,DES,41.55781,-82.93635,False
140,Maumee Bay State Park Lake Erie Beach,ODNR43,Lake Site,2017-10-02,11:30,17100306-01,Microcystins,6.65,ug/L,,ODNR-HAB,DES,41.685758,-83.376958,False
