timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,depth,depth_flags,turbidity,turbidity_flags,chlorophylla,chlorophylla_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,meters,NAN,NTU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
7/22/2014 8:01,5.2,1 1 1 1,3.838,1 1 1 1,134,1 2 1 2,24.41,1 1 1 1,998.5777,1 1 3 1,24.46,1 1 1 1,310,1 1 1 1,0.922,1 1 1 1,-8.18,4 3 1 1,1.428,1 1 1 3,4.15,1 1 1 1,271.36,1 1 1 1,19.24,1 1 1 1,323.12,1 1 1 1,524,1 1 1 1,0.62,1 2 2 2,24.85,1 2 2 2
7/22/2014 8:16,4.9,1 1 1 1,3.779,1 1 1 1,135.5,1 2 1 2,24.38,1 1 4 1,998.5422,1 1 3 1,24.44,1 1 1 1,309.9,1 1 1 1,0.922,1 1 1 1,-7.957,4 3 1 1,1.464,1 1 1 1,4.32,1 1 1 1,200.52,1 1 1 1,22.36,1 1 1 1,333.76,1 1 1 1,520.4,1 1 1 1,0.62,1 2 2 2,24.83,1 2 2 2
7/22/2014 8:31,6.2,1 1 1 1,4.527,1 1 1 1,132.9,1 2 1 2,24.35,1 1 4 1,998.5311,1 1 3 1,24.42,1 1 1 1,309.4,1 1 1 1,0.921,1 1 1 1,-7.886,4 3 1 1,4.37,1 1 1 4,2.99,1 1 1 1,207.36,1 1 1 1,26.4,1 1 1 1,384.36,1 1 1 1,519.2,1 1 1 1,0.62,1 2 2 2,24.8,1 2 2 2
7/22/2014 8:46,5.1,1 1 1 1,3.771,1 1 1 1,141.3,1 2 1 2,24.34,1 1 4 1,998.5244,1 1 3 1,24.4,1 1 1 1,309,1 1 1 1,0.923,1 1 1 1,-7.564,4 3 1 1,42.64,1 3 1 4,2.37,1 1 1 1,237.48,1 1 1 1,31.44,1 1 1 1,342.6,1 1 1 1,523.2,1 1 1 1,0.55,1 2 2 2,24.79,1 2 2 2
7/22/2014 9:01,5.2,1 1 1 1,3.642,1 1 1 1,145.6,1 2 1 2,24.36,1 1 4 1,998.5022,1 1 3 1,24.39,1 1 1 1,308.9,1 1 1 1,0.923,1 1 1 1,-7.352,4 3 1 1,1.702,1 1 1 4,4.69,1 1 1 1,221.64,1 1 1 1,22.6,1 1 1 1,366.4,1 1 1 1,524.4,1 1 1 1,0.62,1 2 2 2,24.78,1 2 2 2
7/22/2014 9:16,3.3,1 1 1 1,2.432,1 1 1 1,166.6,1 2 1 2,24.37,1 1 4 1,998.4622,1 1 1 1,24.39,1 1 3 1,308.9,1 1 4 1,0.924,1 1 1 1,-7.492,4 3 1 1,1.672,1 1 1 1,3.11,1 1 1 1,207.6,1 1 1 1,24.6,1 1 1 1,545.48,1 1 1 1,524.8,1 1 1 1,0.55,1 2 2 2,24.77,1 2 2 2
7/22/2014 9:31,3.1,1 1 1 1,2.196,1 1 1 1,162.7,1 2 1 2,24.37,1 1 4 1,998.3244,1 1 1 1,24.39,1 1 3 1,308.9,1 1 4 1,0.925,1 1 1 1,-7.332,4 3 1 1,1.287,1 1 1 1,4.77,1 1 1 1,209.96,1 1 1 1,33.84,1 1 1 1,402.88,1 1 1 1,524.8,1 1 1 1,0.55,1 2 2 2,24.77,1 2 2 2
7/22/2014 9:46,3.7,1 1 1 1,2.792,1 1 1 1,149.7,1 2 1 2,24.39,1 1 4 1,998.2911,1 1 1 1,24.39,1 1 3 1,308.9,1 1 4 1,0.921,1 1 1 1,-7.392,4 3 1 1,1.488,1 1 1 1,3.87,1 1 1 1,251.6,1 1 1 1,28.76,1 1 1 1,355.04,1 1 1 1,528.8,1 1 1 1,0.55,1 2 2 2,24.78,1 2 2 2
7/22/2014 10:01,4.1,1 1 1 1,3.203,1 1 1 1,149.8,1 2 1 2,24.36,1 1 4 1,998.1355,1 1 1 1,24.39,1 1 3 1,308.9,1 1 4 1,0.921,1 1 1 1,-7.323,4 3 1 1,3.26,1 1 1 4,4.26,1 1 1 1,228.28,1 1 1 1,27.48,1 1 1 1,389.8,1 1 1 1,531.2,1 1 1 1,0.62,1 2 2 2,24.77,1 2 2 2
7/22/2014 10:16,5.7,1 1 1 1,3.841,1 1 1 1,150.8,1 2 1 2,24.31,1 1 1 1,998.0621,1 1 1 1,24.38,1 1 1 1,308.9,1 1 4 1,0.918,1 1 1 1,-7.222,4 3 1 1,87.8,1 3 1 4,3.77,1 1 1 1,218.08,1 1 1 1,25.2,1 1 1 1,399.36,1 1 1 1,532.8,1 1 1 1,0.62,1 2 2 2,24.78,1 2 2 2
